[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
0
10
20
1
2
3
[TestDetails]
0;[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 49, 50, 52, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70];[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 49, 50, 52, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70];1
1;[60];[60];0
2;[1, 3, 4, 5, 11, 12, 24, 26, 28, 31, 41, 42, 44, 45, 46, 47, 48, 50, 52, 53, 55, 56, 57, 58, 63, 64, 67, 70];[1, 3, 4, 5, 11, 12, 24, 26, 28, 31, 41, 42, 44, 45, 46, 47, 48, 50, 52, 53, 55, 56, 57, 58, 63, 64, 67, 70];0
3;[60];[60];0
4;[60, 63, 64];[60, 63, 64];0
5;[1, 4, 5, 6, 11, 12, 18, 19, 20, 21, 22, 24, 26, 27, 28, 31, 41, 42, 44, 46, 47, 48, 50, 52, 53, 56, 57, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71];[1, 4, 5, 6, 11, 12, 18, 19, 20, 21, 22, 24, 26, 27, 28, 31, 41, 42, 44, 46, 47, 48, 50, 52, 53, 56, 57, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71];0
6;[1, 3, 4, 11, 42, 44, 46, 56, 63, 64, 70];[1, 3, 4, 11, 42, 44, 46, 56, 63, 64, 70];0
7;[60];[60];0
8;[1, 2, 3, 4, 5, 6, 11, 12, 15, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 41, 42, 44, 45, 46, 47, 48, 49, 50, 52, 55, 56, 57, 62, 63, 64, 65, 66, 67, 68, 69, 70];[1, 2, 3, 4, 5, 6, 11, 12, 15, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 41, 42, 44, 45, 46, 47, 48, 49, 50, 52, 55, 56, 57, 62, 63, 64, 65, 66, 67, 68, 69, 70];0
9;[1, 3, 4, 13, 14, 15, 18, 20, 21, 31, 37, 38, 41, 43, 44, 45, 46, 47, 54, 56, 57, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70];[1, 3, 4, 13, 14, 15, 18, 20, 21, 31, 37, 38, 41, 43, 44, 45, 46, 47, 54, 56, 57, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70];0
10;[0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70];[0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70];1
11;[1, 3, 4, 13, 14, 15, 18, 20, 21, 31, 37, 38, 41, 43, 44, 45, 46, 47, 54, 56, 57, 62, 63, 64, 65, 67, 68, 70];[1, 3, 4, 13, 14, 15, 18, 20, 21, 31, 37, 38, 41, 43, 44, 45, 46, 47, 54, 56, 57, 62, 63, 64, 65, 67, 68, 70];0
12;[60];[60];0
13;[16, 24, 25, 26, 27, 34, 47, 52, 56, 63, 64];[16, 24, 25, 26, 27, 34, 47, 52, 56, 63, 64];0
14;[60];[60];0
15;[24, 33, 34, 63];[24, 33, 34, 63];0
16;[60, 63, 64];[60, 63, 64];0
17;[60];[60];0
18;[60];[60];0
19;[60];[60];0
20;[0, 1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 52, 54, 55, 56, 57, 58, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70];[0, 1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 50, 51, 52, 54, 55, 56, 57, 58, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70];1
21;[60];[60];0
22;[60];[60];0
23;[1, 3, 4, 13, 14, 15, 18, 21, 31, 41, 43, 44, 45, 46, 47, 54, 56, 57, 63, 64, 67, 68, 70];[1, 3, 4, 13, 14, 15, 18, 21, 31, 41, 43, 44, 45, 46, 47, 54, 56, 57, 63, 64, 67, 68, 70];0
24;[60];[60];0
25;[60, 63, 64];[60, 63, 64];0
26;[60];[60];0
27;[60];[60];0
28;[60];[60];0
29;[60];[60];0
30;[0, 1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71];[0, 1, 2, 3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71];1
31;[60];[60];0
32;[60];[60];0
