[Priors]
[0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
[InitialTests]
0
9
1
2
[TestDetails]
0;[0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 21, 24, 25, 27, 28, 29, 31, 32, 34, 35, 36, 37, 41, 45, 46, 53, 54, 56, 60, 61, 62, 68, 69, 70, 71, 72, 74, 81, 84, 85, 86, 87, 88, 91, 93, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105];[0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 21, 24, 25, 27, 28, 29, 31, 32, 34, 35, 36, 37, 41, 45, 46, 53, 54, 56, 60, 61, 62, 68, 69, 70, 71, 72, 74, 81, 84, 85, 86, 87, 88, 91, 93, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105];1
1;[2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 34, 35, 36, 37, 38, 39, 40, 45, 46, 48, 49, 59, 61, 64, 65, 66, 71, 72, 73, 75, 77, 82, 88, 90, 91, 92, 93, 95, 96, 98, 99, 101, 103, 104];[2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 34, 35, 36, 37, 38, 39, 40, 45, 46, 48, 49, 59, 61, 64, 65, 66, 71, 72, 73, 75, 77, 82, 88, 90, 91, 92, 93, 95, 96, 98, 99, 101, 103, 104];0
2;[2, 7, 10, 15, 16, 23, 24, 25, 26, 27, 28, 29, 30, 34, 35, 36, 37, 45, 46, 48, 49, 57, 58, 59, 64, 65, 66, 69, 70, 71, 72, 82, 85, 95, 104];[2, 7, 10, 15, 16, 23, 24, 25, 26, 27, 28, 29, 30, 34, 35, 36, 37, 45, 46, 48, 49, 57, 58, 59, 64, 65, 66, 69, 70, 71, 72, 82, 85, 95, 104];0
3;[7, 14, 15, 18, 19, 21, 23, 24, 25, 27, 28, 29, 34, 37, 38, 39, 40, 61, 69, 72, 75, 76, 79, 96, 98, 99, 101, 103];[7, 14, 15, 18, 19, 21, 23, 24, 25, 27, 28, 29, 34, 37, 38, 39, 40, 61, 69, 72, 75, 76, 79, 96, 98, 99, 101, 103];0
4;[11];[11];0
5;[7, 24, 25, 28, 29, 48, 60, 69, 71, 72, 85, 95, 97, 102, 105];[7, 24, 25, 28, 29, 48, 60, 69, 71, 72, 85, 95, 97, 102, 105];0
6;[22, 23, 25, 26, 27, 28, 103];[22, 23, 25, 26, 27, 28, 103];0
7;[4, 7, 8, 10, 11, 12, 14, 15, 16, 21, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 37, 38, 39, 41, 44, 49, 50, 56, 57, 59, 60, 64, 67, 69, 72, 82, 84, 85, 86, 87, 88, 89, 95, 97, 98, 99, 101, 102, 103, 104, 105];[4, 7, 8, 10, 11, 12, 14, 15, 16, 21, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 37, 38, 39, 41, 44, 49, 50, 56, 57, 59, 60, 64, 67, 69, 72, 82, 84, 85, 86, 87, 88, 89, 95, 97, 98, 99, 101, 102, 103, 104, 105];0
8;[104, 105];[104, 105];0
9;[1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 56, 57, 58, 59, 61, 62, 63, 64, 65, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 95, 96, 98, 99, 101, 103, 104];[1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49, 50, 51, 53, 54, 56, 57, 58, 59, 61, 62, 63, 64, 65, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 95, 96, 98, 99, 101, 103, 104];1
