0,0,0,1
10,10,0,1
10,20,-10,1
20,10,10,1
0,0,0,1
-5,-5,0,1
-5,5,-10,1
-10,-5,-5,1
-5,-10,5,1
-5,10,-15,1
20,1,19,0
19,1,18,0
18,1,17,0
17,1,16,0
16,1,15,0
15,1,14,0
14,1,13,0
13,1,12,0
12,1,11,0
11,1,10,0
10,1,9,0
9,1,8,0
8,1,7,0
7,1,6,0
6,1,5,0
5,1,4,0
4,1,3,0
3,1,2,0
2,1,1,0
1,1,0,0
10,1,9,1
9,1,8,1
8,1,7,1
7,1,6,1
6,1,5,1
5,1,4,1
4,1,3,1
3,1,2,1
2,1,1,1
1,1,0,1
10,1,9,0
9,1,8,0
8,1,7,0
7,1,6,0
6,1,5,0
5,1,4,0
4,1,3,0
3,1,2,0
2,1,1,0
1,1,0,0
0,1,-1,1
0,-1,1,1
5,1,4,1
4,1,3,1
3,1,2,1
2,1,1,1
1,1,0,1
0,1,-1,1
5,1,4,1
4,1,3,1
3,1,2,1
2,1,1,1
1,1,0,1
0,1,-1,0
0,-1,1,0
5,1,4,0
4,1,3,0
3,1,2,0
2,1,1,0
1,1,0,0
0,1,-1,0
0,-1,1,0
10,1,9,0
9,1,8,0
8,1,7,0
7,1,6,0
6,1,5,0
5,1,4,0
4,1,3,0
3,1,2,0
2,1,1,0
1,1,0,0
0,1,-1,0
10,1,9,0
9,1,8,0
8,1,7,0
7,1,6,0
6,1,5,0
5,1,4,0
4,1,3,0
3,1,2,0
2,1,1,0
1,1,0,0
10,10,0,1
0,10,-10,1
2,1,1,1
1,1,0,1
20,10,10,0
10,10,0,0
0,10,-10,0
3,1,2,0
1,1,0,0
0,-5,5,1
0,1,-1,1
0,-5,5,1
0,-1,1,1
5,5,0,1
0,5,-5,1
2,1,1,1
1,1,0,1
0,-5,5,1
0,1,-1,1
5,5,0,1
0,5,-5,1
2,1,1,1
0,1,-1,1
1,1,0,1
0,-10,10,0
0,1,-1,0
0,-5,5,0
0,-1,1,0
10,5,5,0
5,5,0,0
0,5,-5,0
3,1,2,0
1,1,0,0
