0,0,0,1
10,10,20,1
10,20,30,1
0,0,0,1
-5,-5,-10,1
-5,5,0,1
-10,-5,-15,1
-5,-10,-15,1
-5,10,5,1
0,20,20,0
20,20,40,0
40,20,60,0
60,20,80,0
80,20,100,0
100,20,120,0
120,20,140,0
140,20,160,0
160,20,180,0
180,20,200,0
200,20,220,0
220,20,240,0
240,20,260,0
260,20,280,0
280,20,300,0
300,20,320,0
320,20,340,0
340,20,360,0
360,20,380,0
380,20,400,0
0,10,10,1
10,10,20,1
20,10,30,1
30,10,40,1
40,10,50,1
50,10,60,1
60,10,70,1
70,10,80,1
80,10,90,1
90,10,100,1
0,10,10,0
10,10,20,0
20,10,30,0
30,10,40,0
40,10,50,0
50,10,60,0
60,10,70,0
70,10,80,0
80,10,90,0
90,10,100,0
0,5,5,1
5,5,10,1
10,5,15,1
15,5,20,1
20,5,25,1
0,5,5,1
5,5,10,1
10,5,15,1
15,5,20,1
20,5,25,1
0,5,5,0
5,5,10,0
10,5,15,0
15,5,20,0
20,5,25,0
0,10,10,0
10,10,20,0
20,10,30,0
30,10,40,0
40,10,50,0
50,10,60,0
60,10,70,0
70,10,80,0
80,10,90,0
90,10,100,0
0,10,10,0
10,10,20,0
20,10,30,0
30,10,40,0
40,10,50,0
50,10,60,0
60,10,70,0
70,10,80,0
80,10,90,0
90,10,100,0
0,1,1,1
1,1,2,1
0,1,1,1
0,1,1,0
1,1,2,0
2,1,3,0
0,1,1,0
0,1,1,1
1,1,2,1
0,1,1,1
0,1,1,1
1,1,2,1
0,1,1,1
0,1,1,0
1,1,2,0
2,1,3,0
0,1,1,0
