[Priors]
[1.01, 1.01, 1.01, 0.01, 1.01, 1.01, 1.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.01, 0.01, 0.01, 1.01, 0.01, 0.01, 1.01, 1.01, 0.01, 1.01, 0.01, 1.01, 1.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
2
[InitialTests]
0
8
18
1
2
3
[TestDetails]
0;[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 30, 31, 32];[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 30, 31, 32];1
1;[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];0
2;[16, 19, 20];[16, 19, 20];0
3;[3, 6, 8, 10, 12, 14, 16, 18, 19, 31, 32];[3, 6, 8, 10, 12, 14, 16, 18, 19, 31, 32];0
4;[8];[8];0
5;[7];[7];0
6;[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];0
7;[3, 6, 8, 10, 12, 14, 16, 17, 19, 21, 31, 32];[3, 6, 8, 10, 12, 14, 16, 17, 19, 21, 31, 32];0
8;[2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 19, 21, 23, 24, 26, 27, 28, 30, 31];[2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 16, 19, 21, 23, 24, 26, 27, 28, 30, 31];1
9;[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];0
10;[7];[7];0
11;[7, 8, 10, 11, 12, 13, 16, 19, 31, 32];[7, 8, 10, 11, 12, 13, 16, 19, 31, 32];0
12;[8];[8];0
13;[7];[7];0
14;[7];[7];0
15;[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];0
16;[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];0
17;[3, 6, 8, 10, 12, 14, 16, 19, 31, 32];[3, 6, 8, 10, 12, 14, 16, 19, 31, 32];0
18;[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 26, 27, 31, 32];[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 24, 26, 27, 31, 32];1
19;[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 31, 32];[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 31, 32];0
20;[3, 6, 8, 10, 12, 14, 16, 19, 31, 32];[3, 6, 8, 10, 12, 14, 16, 19, 31, 32];0
21;[3, 6, 8, 10, 12, 14, 16, 17, 19, 21, 31, 32];[3, 6, 8, 10, 12, 14, 16, 17, 19, 21, 31, 32];0
22;[8];[8];0
23;[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19, 25, 27, 28, 29, 30, 31, 32];[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19, 25, 27, 28, 29, 30, 31, 32];1
24;[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 8, 10, 12, 14, 16, 19, 21, 31, 32];0
25;[7];[7];0
26;[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];[3, 6, 7, 8, 9, 10, 12, 14, 16, 19, 21, 31, 32];0
27;[8];[8];0
28;[8, 9, 12, 14, 19, 31, 32];[8, 9, 12, 14, 19, 31, 32];0
29;[8, 31];[8, 31];0
30;[7];[7];0
