[Priors]
[0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
[InitialTests]
0
11
1
2
[TestDetails]
0;[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13];[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13];1
1;[2, 3, 4, 7, 11, 12];[2, 3, 4, 7, 11, 12];0
2;[1, 3, 4, 5, 7, 8, 10, 11, 13];[1, 3, 4, 5, 7, 8, 10, 11, 13];0
3;[1, 3, 4, 7, 8, 11, 13];[1, 3, 4, 7, 8, 11, 13];0
4;[2, 5, 12];[2, 5, 12];0
5;[0, 3, 4, 6, 7, 8, 11, 12, 13];[0, 3, 4, 6, 7, 8, 11, 12, 13];0
6;[2, 5, 10, 11, 12];[2, 5, 10, 11, 12];0
7;[3, 4, 7, 8, 11, 13];[3, 4, 7, 8, 11, 13];0
8;[1, 3, 4, 5, 7, 8, 10, 11, 13];[1, 3, 4, 5, 7, 8, 10, 11, 13];0
9;[1, 2, 4, 5, 7, 8, 10, 11, 12];[1, 2, 4, 5, 7, 8, 10, 11, 12];0
10;[2, 5, 7, 10, 11, 12];[2, 5, 7, 10, 11, 12];0
11;[0, 2, 12, 14];[0, 2, 12, 14];1
