[Priors]
[0.61, 0.61, 0.61, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]
[Bugs]
0
1
2
[InitialTests]
9
19
29
0
1
2
[TestDetails]
0;[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56];[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56];0
1;[13, 44];[13, 44];0
2;[13, 44];[13, 44];0
3;[6, 7, 16, 20, 22, 23, 24, 28, 30, 31, 34, 36, 37, 39, 41, 42, 46, 47, 52];[6, 7, 16, 20, 22, 23, 24, 28, 30, 31, 34, 36, 37, 39, 41, 42, 46, 47, 52];0
4;[13, 44];[13, 44];0
5;[13, 44];[13, 44];0
6;[13, 44];[13, 44];0
7;[13];[13];0
8;[13, 44];[13, 44];0
9;[0, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56];[0, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30, 32, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 56];1
10;[3, 5, 6, 7, 11, 12, 21, 22, 32, 41, 42, 46, 47, 48, 56];[3, 5, 6, 7, 11, 12, 21, 22, 32, 41, 42, 46, 47, 48, 56];0
11;[13, 22, 44, 46, 47, 50, 52, 55];[13, 22, 44, 46, 47, 50, 52, 55];0
12;[13, 44];[13, 44];0
13;[13, 44];[13, 44];0
14;[13, 44];[13, 44];0
15;[44];[44];0
16;[3, 5, 6, 7, 8, 19, 20, 21, 22, 23, 24, 26, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 45, 46, 47, 48, 50, 51, 52, 54, 56];[3, 5, 6, 7, 8, 19, 20, 21, 22, 23, 24, 26, 27, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 45, 46, 47, 48, 50, 51, 52, 54, 56];0
17;[6, 8, 21, 22, 23, 24, 25, 26, 27, 32, 33, 34, 37, 38, 39, 40, 43, 46, 47, 48, 50, 52];[6, 8, 21, 22, 23, 24, 25, 26, 27, 32, 33, 34, 37, 38, 39, 40, 43, 46, 47, 48, 50, 52];0
18;[13, 44];[13, 44];0
19;[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 57];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 55, 56, 57];1
20;[37, 38, 48, 56];[37, 38, 48, 56];0
21;[3, 5, 6, 7, 11, 12, 21, 22, 24, 29, 30, 32, 33, 41, 42, 45, 46, 47, 48, 49, 50, 51, 56];[3, 5, 6, 7, 11, 12, 21, 22, 24, 29, 30, 32, 33, 41, 42, 45, 46, 47, 48, 49, 50, 51, 56];0
22;[13, 44, 46, 47];[13, 44, 46, 47];0
23;[13, 44];[13, 44];0
24;[13, 44];[13, 44];0
25;[13, 44];[13, 44];0
26;[13, 44];[13, 44];0
27;[13, 44];[13, 44];0
28;[13, 44];[13, 44];0
29;[1, 13, 15, 17, 18, 26, 27, 53];[1, 13, 15, 17, 18, 26, 27, 53];1
30;[13, 44];[13, 44];0
31;[13, 44];[13, 44];0
32;[13, 44];[13, 44];0
33;[44];[44];0
34;[44];[44];0
35;[13, 44];[13, 44];0
36;[13, 44];[13, 44];0
37;[3, 6, 7, 8, 9, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 32, 33, 34, 35, 37, 38, 39, 40, 45, 46, 47, 48, 49, 50, 52, 53, 56, 57];[3, 6, 7, 8, 9, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 32, 33, 34, 35, 37, 38, 39, 40, 45, 46, 47, 48, 49, 50, 52, 53, 56, 57];0
38;[13, 44, 46];[13, 44, 46];0
