[Priors]
[0.61, 0.61, 0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
2
[InitialTests]
0
14
21
1
2
3
[TestDetails]
0;[2, 10, 11, 21, 22];[2, 10, 11, 21, 22];1
1;[5, 8, 9];[5, 8, 9];0
2;[5];[5];0
3;[5];[5];0
4;[5];[5];0
5;[21, 22];[21, 22];0
6;[0, 4, 5, 6, 12, 14, 15, 16, 19];[0, 4, 5, 6, 12, 14, 15, 16, 19];0
7;[5, 8, 9];[5, 8, 9];0
8;[5];[5];0
9;[19];[19];0
10;[12, 13, 16, 17, 19, 21, 22];[12, 13, 16, 17, 19, 21, 22];0
11;[5];[5];0
12;[5];[5];0
13;[11];[11];0
14;[0, 1, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];[0, 1, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];1
15;[11, 21, 22];[11, 21, 22];0
16;[14, 16, 17, 19, 21, 22];[14, 16, 17, 19, 21, 22];0
17;[5];[5];0
18;[21, 22];[21, 22];0
19;[12, 13, 14, 15, 16, 17, 18, 19, 21, 22];[12, 13, 14, 15, 16, 17, 18, 19, 21, 22];0
20;[10, 21];[10, 21];0
21;[0, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 19];[0, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 19];1
22;[5];[5];0
23;[11, 21, 22];[11, 21, 22];0
24;[21, 22];[21, 22];0
25;[6, 20];[6, 20];0
26;[5];[5];0
27;[21, 22];[21, 22];0
