[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
0
10
1
2
[TestDetails]
0;[0, 1, 2, 3, 5, 7, 8, 9, 11, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27];[0, 1, 2, 3, 5, 7, 8, 9, 11, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27];1
1;[3, 5, 14, 16, 24];[3, 5, 14, 16, 24];0
2;[14, 24];[14, 24];0
3;[1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25];[1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25];0
4;[1, 2, 3, 5, 17, 19, 20, 21, 22, 24, 25];[1, 2, 3, 5, 17, 19, 20, 21, 22, 24, 25];0
5;[14];[14];0
6;[2, 3, 5, 7, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26];[2, 3, 5, 7, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26];0
7;[14];[14];0
8;[14];[14];0
9;[14, 24];[14, 24];0
10;[0, 1, 2, 3, 4, 5, 8, 9, 11, 15, 16, 18, 21, 23, 24, 25, 26];[0, 1, 2, 3, 4, 5, 8, 9, 11, 15, 16, 18, 21, 23, 24, 25, 26];1
11;[14];[14];0
12;[14, 24];[14, 24];0
13;[1, 2, 3, 5, 9, 11, 17, 19, 20, 21, 22, 24, 25];[1, 2, 3, 5, 9, 11, 17, 19, 20, 21, 22, 24, 25];0
14;[8];[8];0
15;[14];[14];0
16;[2, 3, 5, 13, 16, 18, 20, 21, 23, 24, 25];[2, 3, 5, 13, 16, 18, 20, 21, 23, 24, 25];0
17;[14];[14];0
18;[14];[14];0
19;[14, 24];[14, 24];0
20;[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26];[0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26];1
21;[14];[14];0
22;[14];[14];0
23;[14, 24];[14, 24];0
24;[14];[14];0
25;[14];[14];0
26;[25];[25];0
27;[14];[14];0
28;[3];[3];0
29;[2, 3, 5, 13, 20, 23, 24, 25];[2, 3, 5, 13, 20, 23, 24, 25];0
30;[0, 1, 2, 3, 5, 8, 9, 11, 12, 14, 16, 18, 21, 23, 24, 25, 26];[0, 1, 2, 3, 5, 8, 9, 11, 12, 14, 16, 18, 21, 23, 24, 25, 26];0
