[Priors]
[0.01, 0.01, 0.017, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
2
3
4
[InitialTests]
0
4
9
1
2
3
[TestDetails]
0;[1, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23];[1, 6, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23];1
1;[14, 15];[14, 15];0
2;[15];[15];0
3;[14, 15];[14, 15];0
4;[0, 1, 3, 5, 6, 8, 12, 13, 17, 19, 21, 22];[0, 1, 3, 5, 6, 8, 12, 13, 17, 19, 21, 22];1
5;[14, 15];[14, 15];0
6;[14, 15];[14, 15];0
7;[21];[21];0
8;[10, 19, 21, 22];[10, 19, 21, 22];0
9;[0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];[0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];1
10;[14, 15];[14, 15];0
11;[14, 15];[14, 15];0
12;[6, 9, 14, 15, 19, 21];[6, 9, 14, 15, 19, 21];0
13;[0, 1, 4, 6, 10, 11, 12, 13, 16, 17, 19, 20, 21, 22];[0, 1, 4, 6, 10, 11, 12, 13, 16, 17, 19, 20, 21, 22];1
14;[14, 15];[14, 15];0
15;[12];[12];0
16;[13, 16, 18, 19, 21, 22];[13, 16, 18, 19, 21, 22];0
17;[6, 9, 14, 15, 17, 19, 21];[6, 9, 14, 15, 17, 19, 21];0
