[Priors]
[0.61, 0.61, 0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
3
4
[InitialTests]
0
9
18
1
2
3
[TestDetails]
0;[0, 2, 5, 6, 7, 9, 11, 12, 13, 14, 15, 18, 20, 23];[0, 2, 5, 6, 7, 9, 11, 12, 13, 14, 15, 18, 20, 23];1
1;[16, 17];[16, 17];0
2;[22];[22];0
3;[16, 17];[16, 17];0
4;[21];[21];0
5;[16, 17];[16, 17];0
6;[16, 17];[16, 17];0
7;[22];[22];0
8;[16, 17];[16, 17];0
9;[4, 7, 8, 10, 11, 12, 13, 15, 18];[4, 7, 8, 10, 11, 12, 13, 15, 18];1
10;[16, 17];[16, 17];0
11;[16, 17];[16, 17];0
12;[16, 17];[16, 17];0
13;[16, 17];[16, 17];0
14;[16, 17];[16, 17];0
15;[5, 12, 13, 19, 23];[5, 12, 13, 19, 23];0
16;[16, 17];[16, 17];0
17;[7, 9, 13, 14, 22];[7, 9, 13, 14, 22];0
18;[0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 23];[0, 1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 23];1
19;[16, 17];[16, 17];0
20;[22];[22];0
21;[16, 17];[16, 17];0
22;[16, 17];[16, 17];0
23;[17];[17];0
24;[16, 17];[16, 17];0
25;[22];[22];0
26;[22];[22];0
27;[16, 17];[16, 17];0
28;[3, 16, 17, 21, 22];[3, 16, 17, 21, 22];1
29;[16, 17];[16, 17];0
30;[15, 16, 17];[15, 16, 17];0
31;[16, 17];[16, 17];0
32;[16, 17];[16, 17];0
33;[6, 7, 9, 10, 11, 12, 20];[6, 7, 9, 10, 11, 12, 20];0
34;[16, 17];[16, 17];0
35;[16, 17];[16, 17];0
36;[16, 17];[16, 17];0
37;[16, 17];[16, 17];0
