[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
2
[InitialTests]
0
7
1
2
[TestDetails]
0;[0, 2, 4, 6, 7, 10, 11, 12];[0, 2, 4, 6, 7, 10, 11, 12];1
1;[3, 5];[3, 5];0
2;[4, 12];[4, 12];0
3;[11, 12];[11, 12];0
4;[3, 11, 12];[3, 11, 12];0
5;[3, 5];[3, 5];0
6;[11, 12];[11, 12];0
7;[0, 3, 4, 5, 6, 8, 9, 12];[0, 3, 4, 5, 6, 8, 9, 12];1
8;[11, 12];[11, 12];0
9;[11, 12];[11, 12];0
10;[3, 11, 12];[3, 11, 12];0
11;[6, 10];[6, 10];0
12;[4, 12];[4, 12];0
13;[4];[4];0
14;[3, 11, 12];[3, 11, 12];0
15;[0, 1, 3, 4, 5, 6, 7, 9, 12];[0, 1, 3, 4, 5, 6, 7, 9, 12];1
16;[11, 12];[11, 12];0
17;[4, 11];[4, 11];0
18;[3];[3];0
19;[11, 12];[11, 12];0
20;[11, 12];[11, 12];0
