[Priors]
[0.61, 0.61, 0.61, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]
[Bugs]
0
1
2
[InitialTests]
0
8
1
2
[TestDetails]
0;[1, 4, 5, 8, 9, 10, 11, 13];[1, 4, 5, 8, 9, 10, 11, 13];1
1;[6];[6];0
2;[7, 15];[7, 15];0
3;[4, 7, 10, 15];[4, 7, 10, 15];0
4;[4, 7, 15];[4, 7, 15];0
5;[11, 12];[11, 12];0
6;[4, 7, 15];[4, 7, 15];0
7;[7, 15];[7, 15];0
8;[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];1
9;[7];[7];0
10;[11, 12];[11, 12];0
11;[9];[9];0
12;[11, 12];[11, 12];0
13;[9];[9];0
14;[9, 13, 14];[9, 13, 14];0
15;[0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15];[0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15];1
16;[9];[9];0
17;[7];[7];0
18;[9];[9];0
19;[11, 12];[11, 12];0
20;[9];[9];0
