[Priors]
[0.01, 1.01, 0.01, 1.01, 0.01, 0.01, 0.01, 1.01, 0.01, 0.01, 1.01, 1.01, 0.01]
[Bugs]
0
1
2
3
[InitialTests]
0
6
1
2
[TestDetails]
0;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];1
1;[10];[10];0
2;[5];[5];0
3;[7];[7];0
4;[8, 10];[8, 10];0
5;[7];[7];0
6;[0, 3, 7, 8, 9, 10, 11, 12];[0, 3, 7, 8, 9, 10, 11, 12];1
7;[5];[5];0
8;[11, 12];[11, 12];0
9;[11];[11];0
10;[7];[7];0
11;[8, 10];[8, 10];0
12;[6];[6];0
13;[11, 12];[11, 12];0
14;[1, 2, 3, 6];[1, 2, 3, 6];1
15;[10];[10];0
16;[7];[7];0
17;[10];[10];0
18;[10];[10];0
19;[6, 9];[6, 9];0
20;[10];[10];0
