[Priors]
[0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
[InitialTests]
0
1
[TestDetails]
0;[0, 3, 4, 6, 7, 8, 11, 13, 15];[0, 3, 4, 6, 7, 8, 11, 13, 15];1
1;[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27];[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27];0
2;[13, 15, 16, 18, 19, 20, 22, 24, 25];[13, 15, 16, 18, 19, 20, 22, 24, 25];0
3;[4, 5, 11, 12, 13, 15, 18, 21, 22, 24];[4, 5, 11, 12, 13, 15, 18, 21, 22, 24];0
4;[15, 16, 22, 24, 25];[15, 16, 22, 24, 25];0
5;[26, 27];[26, 27];0
6;[15, 16, 17, 21, 22, 23];[15, 16, 17, 21, 22, 23];0
7;[7, 10, 11];[7, 10, 11];0
8;[1, 3, 4, 5, 7, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25];[1, 3, 4, 5, 7, 11, 14, 15, 16, 17, 18, 20, 21, 22, 24, 25];0
9;[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27];[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27];1
10;[26];[26];0
