[Priors]
[0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
[InitialTests]
0
1
[TestDetails]
0;[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21];[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21];1
1;[10, 17, 20, 21];[10, 17, 20, 21];0
2;[5, 6];[5, 6];0
3;[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20];[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20];0
4;[3, 8];[3, 8];0
5;[1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 16, 20, 21];[1, 3, 5, 6, 7, 8, 9, 10, 12, 14, 16, 20, 21];0
6;[5, 6];[5, 6];0
7;[3, 10, 11, 12, 15, 16, 17, 19];[3, 10, 11, 12, 15, 16, 17, 19];0
8;[0, 3, 4, 6, 7, 8, 10, 11, 12, 13, 16, 17];[0, 3, 4, 6, 7, 8, 10, 11, 12, 13, 16, 17];1
9;[1, 3, 5, 6, 7, 8, 9, 10, 12, 16, 20, 21];[1, 3, 5, 6, 7, 8, 9, 10, 12, 16, 20, 21];0
