[Priors]
[0.61, 0.61, 0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
3
4
[InitialTests]
0
4
1
2
[TestDetails]
0;[0, 3, 4, 6, 9, 10, 11, 14];[0, 3, 4, 6, 9, 10, 11, 14];1
1;[11];[11];0
2;[13];[13];0
3;[12];[12];0
4;[0, 1, 2, 4, 6, 7, 10, 11, 12, 13, 14];[0, 1, 2, 4, 6, 7, 10, 11, 12, 13, 14];1
5;[13];[13];0
6;[14];[14];0
7;[6];[6];0
8;[0, 2, 4, 5, 6, 7, 11, 12, 14];[0, 2, 4, 5, 6, 7, 11, 12, 14];1
9;[14];[14];0
10;[12];[12];0
11;[13];[13];0
12;[13];[13];0
13;[2, 4, 6, 8, 9, 10, 12, 14];[2, 4, 6, 8, 9, 10, 12, 14];1
14;[13];[13];0
15;[14];[14];0
16;[13];[13];0
17;[14];[14];0
18;[13];[13];0
