[Priors]
[0.61, 0.61, 0.61, 0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
3
4
5
[InitialTests]
0
4
11
1
2
3
[TestDetails]
0;[0, 2, 3, 5, 7, 9, 14, 16];[0, 2, 3, 5, 7, 9, 14, 16];1
1;[7, 9];[7, 9];0
2;[12];[12];0
3;[9, 14];[9, 14];0
4;[1, 2, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18];[1, 2, 7, 9, 10, 11, 12, 13, 14, 15, 17, 18];1
5;[12, 13];[12, 13];0
6;[16];[16];0
7;[16];[16];0
8;[10, 17];[10, 17];0
9;[12, 13];[12, 13];0
10;[12, 13];[12, 13];0
11;[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17];[0, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17];1
12;[12, 13];[12, 13];0
13;[15];[15];0
14;[16];[16];0
15;[11];[11];0
16;[12, 13];[12, 13];0
17;[12, 13];[12, 13];0
18;[0, 1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16];[0, 1, 2, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16];1
19;[12, 13];[12, 13];0
20;[12, 13];[12, 13];0
21;[12, 13];[12, 13];0
22;[12, 13];[12, 13];0
