[Priors]
[0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
[InitialTests]
0
1
[TestDetails]
0;[1, 5, 6, 9];[1, 5, 6, 9];1
1;[2, 3, 4, 7, 8];[2, 3, 4, 7, 8];0
2;[2, 3, 4, 7];[2, 3, 4, 7];0
3;[5, 6];[5, 6];0
4;[2, 4, 7];[2, 4, 7];0
5;[2, 4];[2, 4];0
6;[4, 9];[4, 9];0
7;[0, 2, 3, 4, 7, 8];[0, 2, 3, 4, 7, 8];1
8;[6];[6];0
9;[2, 3, 4, 7];[2, 3, 4, 7];0
10;[5, 6];[5, 6];0
