[Priors]
[0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
[InitialTests]
0
7
1
2
[TestDetails]
0;[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20];[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20];1
1;[20];[20];0
2;[20];[20];0
3;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
4;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
5;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
6;[20];[20];0
7;[0, 1, 2, 5, 6, 8, 9, 10, 11, 13, 14, 20];[0, 1, 2, 5, 6, 8, 9, 10, 11, 13, 14, 20];1
8;[20];[20];0
9;[20];[20];0
10;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
11;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
12;[20];[20];0
13;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
14;[8, 11, 13, 14, 15, 18];[8, 11, 13, 14, 15, 18];0
15;[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20];[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20];1
16;[10];[10];0
17;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
18;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
19;[11];[11];0
20;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
21;[6, 7, 8, 9, 10, 11, 14, 17, 20];[6, 7, 8, 9, 10, 11, 14, 17, 20];0
22;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
23;[20];[20];0
24;[0, 6, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20];[0, 6, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20];1
25;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
26;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
27;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
28;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
29;[20];[20];0
30;[6, 7, 8, 10, 12];[6, 7, 8, 10, 12];0
