[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
[InitialTests]
0
1
[TestDetails]
0;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16];1
1;[2, 3, 4, 5, 6, 7, 8, 9, 10, 13];[2, 3, 4, 5, 6, 7, 8, 9, 10, 13];0
2;[15];[15];0
3;[8, 9, 15];[8, 9, 15];0
4;[2, 3, 4, 5, 6, 7, 8, 9];[2, 3, 4, 5, 6, 7, 8, 9];0
5;[0, 3, 5, 6, 14, 15, 16];[0, 3, 5, 6, 14, 15, 16];1
6;[16];[16];0
7;[2, 3, 4, 6, 8, 9];[2, 3, 4, 6, 8, 9];0
8;[10, 11];[10, 11];0
9;[2, 3, 4, 5, 7, 8, 9, 10];[2, 3, 4, 5, 7, 8, 9, 10];0
10;[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15];[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15];0
