[Priors]
[0.61, 0.61, 0.61, 0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
2
3
[InitialTests]
0
8
1
2
[TestDetails]
0;[1, 2, 3, 6, 8, 9, 10, 11, 13];[1, 2, 3, 6, 8, 9, 10, 11, 13];1
1;[12];[12];0
2;[12];[12];0
3;[9, 10, 11];[9, 10, 11];0
4;[9, 11];[9, 11];0
5;[12];[12];0
6;[8];[8];0
7;[7, 9, 11];[7, 9, 11];0
8;[1, 2, 4, 5, 6, 8, 9, 10, 11, 12];[1, 2, 4, 5, 6, 8, 9, 10, 11, 12];1
9;[12];[12];0
10;[12];[12];0
11;[12];[12];0
12;[9, 11];[9, 11];0
13;[12];[12];0
14;[0, 2, 5, 7];[0, 2, 5, 7];1
15;[6, 13];[6, 13];0
16;[12];[12];0
17;[9, 11];[9, 11];0
18;[10, 11];[10, 11];0
19;[9, 11];[9, 11];0
20;[9, 11];[9, 11];0
