[Priors]
[0.61, 0.61, 0.61, 0.61, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]
[Bugs]
0
1
2
3
[InitialTests]
0
6
14
1
2
3
[TestDetails]
0;[2, 3, 4, 5, 6];[2, 3, 4, 5, 6];1
1;[12];[12];0
2;[5];[5];0
3;[7];[7];0
4;[8, 12];[8, 12];0
5;[7];[7];0
6;[0, 3, 7, 8, 11, 12, 13, 14];[0, 3, 7, 8, 11, 12, 13, 14];1
7;[5];[5];0
8;[13, 14];[13, 14];0
9;[13];[13];0
10;[7];[7];0
11;[8, 12];[8, 12];0
12;[6];[6];0
13;[13, 14];[13, 14];0
14;[1, 2, 3, 6, 10];[1, 2, 3, 6, 10];1
15;[12];[12];0
16;[7];[7];0
17;[12];[12];0
18;[12];[12];0
19;[6, 11];[6, 11];0
20;[12];[12];0
21;[6];[6];0
22;[1, 2, 3, 6, 9];[1, 2, 3, 6, 9];1
23;[7];[7];0
24;[7];[7];0
25;[7];[7];0
26;[5];[5];0
27;[12];[12];0
28;[7];[7];0
