[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
2
3
[InitialTests]
0
7
1
2
[TestDetails]
0;[0, 1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14];[0, 1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14];1
1;[9];[9];0
2;[8, 14];[8, 14];0
3;[14];[14];0
4;[9];[9];0
5;[10, 11, 14];[10, 11, 14];0
6;[9];[9];0
7;[1, 2, 3, 4, 7, 8, 9, 10, 11, 14];[1, 2, 3, 4, 7, 8, 9, 10, 11, 14];1
8;[11, 12];[11, 12];0
9;[11, 12];[11, 12];0
10;[11, 12];[11, 12];0
11;[7];[7];0
12;[1, 2, 5, 8, 9, 10, 11, 13];[1, 2, 5, 8, 9, 10, 11, 13];1
13;[9];[9];0
14;[8];[8];0
15;[7];[7];0
16;[7];[7];0
17;[9];[9];0
18;[9];[9];0
19;[1, 6, 9, 10, 11];[1, 6, 9, 10, 11];1
20;[11, 12];[11, 12];0
