[Priors]
[0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
[InitialTests]
0
9
19
1
2
3
[TestDetails]
0;[0, 1, 4, 8, 9, 14, 15];[0, 1, 4, 8, 9, 14, 15];1
1;[11, 12];[11, 12];0
2;[12, 13];[12, 13];0
3;[11, 12];[11, 12];0
4;[10, 13, 14];[10, 13, 14];0
5;[11, 12];[11, 12];0
6;[11, 12];[11, 12];0
7;[11, 12];[11, 12];0
8;[11, 12];[11, 12];0
9;[2, 11, 12, 14, 15];[2, 11, 12, 14, 15];1
10;[11, 12];[11, 12];0
11;[4, 7];[4, 7];0
12;[11, 12];[11, 12];0
13;[11, 12];[11, 12];0
14;[11, 12];[11, 12];0
15;[10, 13, 14];[10, 13, 14];0
16;[11, 12];[11, 12];0
17;[11, 12];[11, 12];0
18;[10, 11, 12, 13, 14];[10, 11, 12, 13, 14];0
19;[1, 3, 4, 6, 7, 9, 10, 13, 14, 15];[1, 3, 4, 6, 7, 9, 10, 13, 14, 15];1
20;[9, 11, 12];[9, 11, 12];0
21;[11, 12];[11, 12];0
22;[11, 12];[11, 12];0
23;[11, 12];[11, 12];0
24;[11, 12];[11, 12];0
25;[11, 12];[11, 12];0
26;[11, 12];[11, 12];0
27;[10, 13, 14];[10, 13, 14];0
28;[11, 12];[11, 12];0
29;[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15];[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15];1
30;[11, 12];[11, 12];0
31;[11, 12];[11, 12];0
32;[10, 13, 14];[10, 13, 14];0
33;[10, 13, 14];[10, 13, 14];0
34;[11, 12];[11, 12];0
35;[10, 13, 14];[10, 13, 14];0
36;[11, 12];[11, 12];0
37;[11, 12];[11, 12];0
38;[11, 12];[11, 12];0
